"Продажа BMW X7, 2020 год в Москве",7 973 000 ₽,Двигатель,"дизель, 3.0 л"
Мощность,"249 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,черный
"Пробег, км",50 685
Руль,левый
Поколение,1 поколение
Комплектация,xDrive30d AT M Sport Pro
"Продажа BMW X3, 2019 год в Москве",2 899 999 ₽,Двигатель,"дизель, 2.0 л"
Мощность,"190 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,черный
"Пробег, км",70 000
Руль,левый
Поколение,3 поколение
"Продажа BMW X6, 2011 год в Москве",1 550 000 ₽,Двигатель,"бензин, 3.0 л"
Мощность,"306 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,красный
"Пробег, км",135 000
Руль,левый
Поколение,1 поколение
Комплектация,xDrive 35i AT
"Продажа BMW 3-Series, 2001 год в Москве",350 000 ₽,Двигатель,"бензин, 1.9 л"
Мощность,"118 л.с., налог"
Коробка передач,механика
Привод,задний
Тип кузова,купе
Цвет,черный
"Пробег, км",315 000
Руль,левый
Поколение,4 поколение
"Продажа BMW X6, 2017 год в Москве",3 399 000 ₽,Двигатель,"дизель, 3.0 л"
Мощность,"249 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,черный
"Пробег, км",121 000
Руль,левый
Поколение,2 поколение
Комплектация,xDrive 30d AT Luxury
"Продажа BMW X3, 2013 год в Москве",1 800 000 ₽,Двигатель,"бензин, 2.0 л"
Мощность,"184 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,черный
"Пробег, км",95 000
Руль,левый
Поколение,2 поколение
"Продажа BMW X2, 2019 год в Москве",2 690 000 ₽,Двигатель,"дизель, 2.0 л"
Мощность,"150 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,синий
"Пробег, км",53 600
Руль,левый
Поколение,1 поколение
Комплектация,xDrive 18d AT M Sport X
"Продажа BMW X6, 2012 год в Москве",2 280 000 ₽,Двигатель,"бензин, 4.4 л"
Мощность,"555 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,черный
"Пробег, км",125 000
Руль,левый
Поколение,"1 поколение, рестайлинг"
Комплектация,4.4 AT M
"Продажа BMW 3-Series, 2018 год в Москве",2 279 880 ₽,Двигатель,"бензин, 2.0 л"
Мощность,"184 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Тип кузова,седан
Цвет,синий
"Пробег, км",61 293
Руль,левый
"Продажа BMW X3, 2019 год в Москве",3 900 000 ₽,Двигатель,"дизель, 2.0 л"
Мощность,"190 л.с., налог"
Коробка передач,АКПП
Привод,4WD
Цвет,серый
"Пробег, км",55 400
Руль,левый
Поколение,3 поколение
Комплектация,xDrive 20d AT Base
"Продажа BMW 5-Series, 2003 год в Красноярске",975 000 ₽,Двигатель,"дизель, 3.0 л"
Мощность,"218 л.с., налог"
Коробка передач,АКПП
Привод,задний
Тип кузова,седан
Цвет,серебристый
"Пробег, км",380 000
Руль,левый
Поколение,5 поколение
"Продажа BMW 5-Series Gran Turismo, 2011 год в Старой Купавне",1 800 000 ₽,Двигатель,"дизель, 3.0 л"
Мощность,"245 л.с., налог"
Коробка передач,АКПП
Привод,задний
Цвет,белый
"Пробег, км",150 000
Руль,левый
Поколение,6 поколение
"Продажа BMW 5-Series, 2017 год в Краснодаре",2 621 700 ₽,Двигатель,"дизель, 2.0 л"
Мощность,"190 л.с., налог"
Коробка передач,АКПП
Привод,задний
